[2016-04-25T10:11:04+03:00] INFO: Forking chef instance to converge...
[2016-04-25T10:11:04+03:00] INFO: *** Chef 12.9.38 ***
[2016-04-25T10:11:04+03:00] INFO: Platform: x86_64-linux
[2016-04-25T10:11:04+03:00] INFO: Chef-client pid: 3703
[2016-04-25T10:11:23+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/16x16/green_anime.gif in the cache.
[2016-04-25T10:11:23+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/32x32/red_anime.gif in the cache.
[2016-04-25T10:11:23+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/32x32/yellow_anime.gif in the cache.
[2016-04-25T10:11:23+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/32x32/green_anime.gif in the cache.
[2016-04-25T10:11:24+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/32x32/yellow.gif in the cache.
[2016-04-25T10:11:24+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/32x32/red.gif in the cache.
[2016-04-25T10:11:24+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/48x48/green.gif in the cache.
[2016-04-25T10:11:24+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/48x48/yellow_anime.gif in the cache.
[2016-04-25T10:11:24+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/48x48/red_anime.gif in the cache.
[2016-04-25T10:11:24+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/48x48/red.gif in the cache.
[2016-04-25T10:11:24+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/48x48/green_anime.gif in the cache.
[2016-04-25T10:11:24+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/colorblind/48x48/yellow.gif in the cache.
[2016-04-25T10:11:24+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/makeFlash.sh in the cache.
[2016-04-25T10:11:24+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/compress_png.sh in the cache.
[2016-04-25T10:11:24+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/48x48/green.png in the cache.
[2016-04-25T10:11:24+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/48x48/green.gif in the cache.
[2016-04-25T10:11:24+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/.timestamp2 in the cache.
[2016-04-25T10:11:24+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/translation/flags.png in the cache.
[2016-04-25T10:11:25+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/greenballs/48x48/green_anime.gif in the cache.
[2016-04-25T10:11:25+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/translation/META-INF/MANIFEST.MF in the cache.
[2016-04-25T10:11:25+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/translation/META-INF/maven/org.jenkins-ci.plugins/translation/pom.xml in the cache.
